id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flud_0620_v1
578904,6,5,2,7,4,4,5,6,4,4,10,5,3,7,5,3,6,4,4,5,0.495,0.5130172
456758,4,4,3,6,5,3,8,3,5,4,8,7,3,3,4,4,3,7,5,7,0.5,0.48094815
688933,3,3,1,4,5,3,6,4,4,2,4,3,6,7,5,4,2,5,3,2,0.36,0.39232802
310663,5,8,8,2,3,3,2,3,3,3,7,7,6,5,8,9,4,6,5,2,0.495,0.49052036
157072,6,7,3,10,6,5,3,6,2,3,4,7,6,4,10,5,6,6,5,4,0.55,0.55597746
616709,7,3,6,2,10,7,6,4,10,7,7,4,2,4,5,6,4,3,6,9,0.57,0.575756
153961,4,4,6,2,3,7,3,3,4,11,2,5,6,4,7,4,8,3,7,2,0.47,0.48074067
416671,5,4,8,5,5,8,5,4,4,9,6,4,4,4,3,5,4,6,3,6,0.51,0.5224409
308892,4,7,4,3,9,4,3,1,4,6,6,4,7,6,6,7,3,9,7,7,0.57,0.5510591
265124,5,2,4,3,6,2,3,3,4,4,7,4,3,5,4,6,4,5,2,2,0.38,0.39933014
261783,6,1,5,7,11,7,4,8,9,3,7,4,3,4,4,6,6,7,5,6,0.6,0.57499707
449981,6,6,8,5,4,2,3,3,2,6,6,3,5,3,7,4,4,4,5,4,0.425,0.4546132
1029517,4,5,4,4,8,6,3,5,7,5,4,1,2,6,4,7,6,6,2,2,0.485,0.46770754
892799,7,4,4,6,3,3,8,5,3,6,7,2,6,3,4,3,7,8,6,8,0.535,0.53324926
193850,6,3,5,8,2,3,3,4,7,6,5,3,5,10,4,6,8,8,6,1,0.525,0.52928805
216787,7,4,6,7,4,5,4,7,9,5,5,5,4,4,5,2,6,4,1,4,0.485,0.5053159
1018744,7,7,3,5,4,8,5,7,8,4,6,1,6,5,3,6,4,9,1,3,0.525,0.5329886
1057238,3,5,0,3,7,4,2,7,2,4,8,6,7,7,8,5,4,3,7,7,0.485,0.5220741
210308,7,5,8,6,3,5,5,8,5,3,4,6,5,2,7,3,8,6,6,2,0.52,0.5273509
588449,12,7,4,4,4,4,3,2,5,3,5,5,7,8,7,5,5,3,2,4,0.515,0.49039447
562408,3,2,4,10,7,3,6,5,7,4,2,3,8,5,3,10,6,1,5,6,0.505,0.51929414
581467,4,5,6,4,6,5,4,5,2,3,3,4,6,3,8,4,7,4,4,5,0.47,0.46776956
276789,2,2,6,5,5,5,2,6,7,5,6,5,3,9,4,0,2,2,8,8,0.515,0.46485853
427604,6,6,4,4,4,11,8,6,6,6,4,4,7,5,9,3,8,2,4,3,0.58,0.56375015
705486,2,3,4,6,1,5,3,7,6,3,5,2,6,3,10,1,6,3,4,4,0.405,0.4167079
75577,6,3,5,6,6,5,5,4,7,1,5,2,6,10,3,8,10,6,4,7,0.58,0.55277705
502224,6,3,2,5,9,4,7,5,6,4,3,6,2,4,4,8,6,5,4,3,0.49,0.4811619
673342,4,3,0,3,4,7,3,3,2,6,6,3,0,2,4,8,2,7,1,4,0.415,0.38675565
1078511,3,2,6,5,7,4,6,6,4,6,4,3,6,5,4,4,8,2,5,3,0.48,0.4726316
1100888,10,4,2,6,7,5,6,5,4,5,9,3,6,4,4,1,5,2,6,5,0.52,0.5208523
1060485,9,3,5,4,7,6,5,10,5,3,7,7,4,10,4,2,3,5,4,3,0.545,0.53241324
341067,5,6,3,4,6,7,7,7,6,9,5,3,4,5,4,9,5,5,7,5,0.59,0.58975637
221707,5,3,4,3,8,3,5,5,5,9,6,5,7,7,5,5,3,4,3,5,0.54,0.49277684
103806,3,5,5,11,8,3,5,6,6,3,3,5,7,6,4,6,5,5,2,7,0.55,0.53846633
127159,9,9,5,7,4,6,4,3,4,6,5,7,7,4,2,4,2,5,5,7,0.535,0.53551275
179742,4,4,1,6,4,6,7,3,7,3,7,3,6,5,1,6,2,4,7,4,0.46,0.4367894
546768,4,4,5,8,6,7,4,5,4,2,3,3,1,5,4,5,3,8,6,7,0.49,0.46703625
1004102,10,3,2,5,7,1,4,2,5,5,9,3,5,7,5,8,6,9,5,5,0.545,0.5439661
378567,2,4,9,4,7,6,1,3,4,1,5,4,9,7,3,9,7,9,5,7,0.545,0.5563015
373170,4,0,9,10,3,3,2,7,4,4,10,8,6,4,6,6,4,4,4,6,0.52,0.5402092
571243,8,3,4,4,5,11,4,3,6,3,5,2,4,3,3,4,9,4,6,3,0.47,0.46964994
712815,10,9,4,7,2,3,3,2,6,4,10,5,5,4,5,5,1,5,5,3,0.51,0.47651768
387408,4,3,1,4,5,5,3,1,6,6,7,7,7,1,3,2,5,5,3,4,0.41,0.41773763
655031,5,6,7,9,7,6,5,4,7,6,5,5,8,5,5,10,4,1,3,3,0.565,0.5762825
363719,3,2,6,5,6,5,1,9,5,3,3,3,6,7,3,6,3,6,5,5,0.44,0.47453004
745287,8,4,4,2,4,4,2,4,4,3,6,7,5,9,6,1,6,5,3,5,0.515,0.46134496
1109608,2,5,6,4,6,5,6,6,4,6,5,6,4,7,10,4,3,5,2,3,0.495,0.50547737
136980,5,4,9,7,5,3,3,6,6,5,2,5,3,11,6,4,5,7,3,9,0.565,0.538966
1024769,9,5,4,5,7,5,7,5,3,3,7,6,5,6,4,2,4,8,10,7,0.57,0.57363343
1034802,6,6,4,6,2,4,4,5,9,2,6,3,5,5,3,8,5,7,3,6,0.52,0.48691493
176275,6,3,4,3,5,5,7,9,6,6,5,4,6,7,5,4,7,6,5,6,0.58,0.5622796
296729,5,5,4,7,8,6,4,4,2,3,4,5,5,6,2,8,2,5,5,6,0.49,0.48717004
756490,6,3,7,5,4,3,5,9,3,1,4,6,8,6,8,3,1,6,3,4,0.52,0.48106167
546839,5,4,3,5,3,5,4,7,4,3,10,5,4,4,4,6,5,9,2,6,0.49,0.5022384
682732,9,4,4,3,9,3,6,4,5,2,7,5,6,9,6,6,8,3,2,7,0.57,0.55168533
480728,3,6,11,6,1,3,7,3,10,5,2,5,3,5,4,4,1,3,5,5,0.515,0.4741177
333266,10,5,4,7,7,3,10,5,4,4,10,4,3,3,3,8,4,3,3,2,0.55,0.5109012
730577,6,5,2,2,3,7,6,8,7,6,2,4,5,5,3,2,5,5,6,4,0.48,0.4782691
736226,5,3,6,6,5,5,6,6,6,5,5,8,3,8,5,5,4,4,3,6,0.56,0.5376572
18621,3,4,6,8,4,3,3,2,5,6,9,5,7,7,4,5,3,10,5,5,0.55,0.53972924
840132,2,6,4,3,5,5,5,6,4,4,4,4,6,5,5,2,12,0,4,7,0.46,0.47770843
245898,3,6,5,7,5,6,9,5,3,4,4,5,7,5,3,5,5,7,7,9,0.58,0.5712317
481624,4,4,3,2,5,5,5,6,8,5,5,4,6,3,5,4,3,8,3,4,0.515,0.47464824
